"Entity","Year","pov_rate_20","pov_rate_10","pov_rate_5","pov_rate_2","number_in_poverty_20","number_in_poverty_10","number_in_poverty_5","number_in_poverty_2","poor_share_in_world_pop_20","poor_share_in_world_pop_10","poor_share_in_world_pop_5","poor_share_in_world_pop_2"
"China","1850","99.9946718072199","99.6711178452848","94.0604495972017","51.1790061181802","411978047.845746","410645005.522573","387529052.340471","210857505.206903","33.0968230189669","32.9897312307575","31.1326793432034","16.9395276484895"
"E. Asia and Pacific excl. China","1850","99.6407318179612","97.4359017819476","87.983720391077","51.9604671762624","96424580.9653057","94290917.2673038","85143828.3891542","50283314.6928922","7.74640131330901","7.57499050595161","6.84014654200276","4.03957923462173"
"Eastern Europe and Central Asia","1850","99.9320777776573","98.9753091659149","92.2218058226274","53.9418992710665","129270376.03548","128032717.007774","119296504.010321","69778290.9943436","10.3851134292561","10.2856843892575","9.58384870421405","5.60573496496218"
"India","1850","99.933817263875","98.753770293774","89.8728108862434","49.7767869504499","235643941.108217","232861390.352719","211920088.069762","117373663.629161","18.9307800625112","18.7072400210513","17.0248917040234","9.42937467793578"
"Latin America and the Caribbean","1850","99.6901073150825","97.6894266956513","87.3538415504853","47.447468357511","31071402.3191646","30447830.3909889","27226436.2838041","14788422.0216805","2.49616383417971","2.4460683258041","2.18727320019643","1.18804821990082"
"Middle East and North Africa","1850","98.5460047006451","95.4057201772222","87.9408004307594","68.4613017060985","34788230.8797406","33679662.9234772","31044433.2921233","24167875.4741413","2.79476036791367","2.70570203666326","2.49399724030499","1.94155951147081"
"South Asia excl. India","1850","99.9907178721498","99.7737837635919","96.9190918805355","67.4074254509445","45165523.6192668","45067535.097808","43778078.8721335","30447742.8616059","3.62843445082187","3.62056240819831","3.51697216907024","2.44606129401074"
"Sub-Saharan Africa","1850","99.788306493561","98.5018464119771","92.979154327898","70.6480726325462","59852031.6114906","59080425.6771335","55767970.0116176","42374009.7920881","4.80829526701582","4.74630724317975","4.48019656205723","3.40417434867262"
"Western Europe","1850","94.0686402698456","79.6462164902074","52.3179172063645","16.4463437180063","162228359.575267","137355818.161271","90226135.5158959","28362941.7277591","13.0328383601893","11.0346685413955","7.2484406741328","2.27857592793972"
"Western Offshoots","1850","90.6874452288532","68.6901147128829","34.8640658080847","5.80197686672239","24267960.3432411","18381474.6971675","9329624.01024346","1552609.00953491","1.94959996706497","1.47670104769164","0.749508174804854","0.124730979902771"
"China","1870","99.8934032024113","98.4564028448103","89.3659908613876","51.5946769540647","357618383.464633","352473922.184421","319930247.283768","184708943.495552","27.1094298635346","26.7194515550639","24.2524629632759","14.001948390764"
"E. Asia and Pacific excl. China","1870","99.5100942669148","96.7730669384981","86.2331148311137","51.3547650190981","113594753.009454","110470326.832973","98438549.9043095","58623518.4599012","8.61110371268116","8.37425511593257","7.46218060337172","4.44398340668494"
"Eastern Europe and Central Asia","1870","99.1934372786665","95.569237372339","84.1404697637509","54.8782388613481","152855387.533545","147270557.565163","129659022.470016","84566425.9495717","11.587274589909","11.1639139257819","9.82886321942388","6.41059771838166"
"India","1870","99.9482999132322","99.0422819229881","91.9828407593799","56.4805117993089","252869198.780477","250576973.26516","232716587.121231","142895694.852252","19.1688686207193","18.9951053867466","17.6411904095196","10.8322753988995"
"Latin America and the Caribbean","1870","98.6866308275114","94.3143639963859","81.5657665367667","47.9257652835437","39158942.7000891","37424023.3409634","32365368.5541737","19016986.2002526","2.96846208065035","2.83694570213129","2.45347199527732","1.44159158882429"
"Middle East and North Africa","1870","99.0923856205255","96.1447489195981","86.359387140302","56.8568802547781","39352926.8697791","38182320.9669755","34296223.926486","22579783.8723807","2.98316714192796","2.89442881054676","2.59984139548883","1.71167114311005"
"South Asia excl. India","1870","99.8213279652906","98.4785266456705","92.1627354647613","66.5911160108451","51143881.4709561","50455891.5099974","47219969.0660078","34118241.19853","3.8769860046161","3.82483260183872","3.57953197805842","2.58634933103258"
"Sub-Saharan Africa","1870","99.4072237637454","97.0327260798491","89.4060263503171","65.3630116007504","70530893.957421","68846152.7685608","63434896.6293978","46376022.4398456","5.34662761021121","5.21891501150435","4.80871219318987","3.51555620687782"
"Western Europe","1870","90.2333316578997","73.6730105008367","47.9463537269189","16.5794588460084","173469391.469727","141632942.777461","92174639.3642415","31873240.0108898","13.1499288598056","10.7365518835843","6.98734191691414","2.41616595944453"
"Western Offshoots","1870","82.9920316543399","59.7806062065054","32.1512719828063","7.9132159656822","38249367.5488522","27551685.7884542","14817878.2314358","3647042.97426361","2.89951130823987","2.08856850777111","1.12327623303301","0.276465809062285"
